transaction_id,order_datetime_utc,ingested_at_utc,country,source_system,source_scenario,product_code,product_name,product_category,brand,sales_channel,quantity,unit_price,currency,discount_pct,gross_amount,net_amount
TXN-DE-1-000001,2026-08-25 19:39:17,2026-08-25 19:40:17,DE,SaaS Platform,D,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,Pharmacy/B2B,12,32.0,EUR,0.1,384.0,345.6
TXN-DE-1-000002,2026-08-25 14:00:46,2026-08-25 14:01:46,DE,SaaS Platform,D,VIT-001,Vitalis C1000,Supplement,Vitalis,Wholesale,7,21.0,EUR,0.05,147.0,139.65
TXN-DE-1-000003,2026-08-25 04:49:18,2026-08-25 04:50:18,DE,SaaS Platform,D,PUR-001,PureLife GlucoMonitor,Medical Device,PureLife,Pharmacy/B2B,9,85.0,EUR,0.0,765.0,765.0
TXN-DE-1-000004,2026-08-25 00:36:34,2026-08-25 00:38:34,DE,SaaS Platform,D,PUR-002,PureLife BP Monitor,Medical Device,PureLife,Pharmacy/B2B,8,90.0,EUR,0.0,720.0,720.0
TXN-DE-1-000005,2026-08-25 23:08:29,2026-08-25 23:10:29,DE,SaaS Platform,D,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,E-commerce,11,32.0,EUR,0.0,352.0,352.0
TXN-DE-1-000006,2026-08-25 10:13:00,2026-08-25 10:16:00,DE,SaaS Platform,D,VIT-002,Vitalis Multivit,Supplement,Vitalis,D2C,10,17.0,EUR,0.05,170.0,161.5
TXN-DE-1-000007,2026-08-25 22:56:43,2026-08-25 23:02:43,DE,SaaS Platform,D,VIT-001,Vitalis C1000,Supplement,Vitalis,D2C,6,21.0,EUR,0.1,126.0,113.4
TXN-DE-1-000008,2026-08-25 17:38:31,2026-08-25 17:39:31,DE,SaaS Platform,D,MED-002,Medora Derm Cream,Prescription,Medora,E-commerce,1,26.0,EUR,0.15,26.0,22.1
TXN-DE-1-000009,2026-08-25 10:44:57,2026-08-25 10:50:57,DE,SaaS Platform,D,VIT-001,Vitalis C1000,Supplement,Vitalis,D2C,3,21.0,EUR,0.15,63.0,53.55
TXN-DE-1-000010,2026-08-25 13:36:52,2026-08-25 13:38:52,DE,SaaS Platform,D,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,Pharmacy/B2B,10,32.0,EUR,0.0,320.0,320.0
