transaction_id,order_datetime_utc,ingested_at_utc,country,source_system,source_scenario,product_code,product_name,product_category,brand,sales_channel,quantity,unit_price,currency,discount_pct,gross_amount,net_amount
TXN-CN-1-000001,2026-08-25 12:11:35,2026-08-25 12:15:35,CN,Other ERP,C,MED-002,Medora Derm Cream,RX,Medora,D2C,12,200.0,CNY,0.2,2400.0,1920.0
TXN-CN-1-000002,2026-08-25 13:35:32,2026-08-25 13:40:32,CN,Other ERP,C,DER-001,Dermacare GlowSerum,AES,Dermacare,Wholesale,4,246.15,CNY,0.1,984.6,886.14
TXN-CN-1-000003,2026-08-25 12:47:03,2026-08-25 12:53:03,CN,Other ERP,C,DER-001,Dermacare GlowSerum,AES,Dermacare,Pharmacy/B2B,4,246.15,CNY,0.15,984.6,836.91
TXN-CN-1-000004,2026-08-25 23:26:37,2026-08-25 23:30:37,CN,Other ERP,C,VIT-001,Vitalis C1000,SUP,Vitalis,E-commerce,12,161.54,CNY,0.0,1938.48,1938.48
TXN-CN-1-000005,2026-08-25 18:22:07,2026-08-25 18:23:07,CN,Other ERP,C,DER-002,Dermacare LiftCream,AES,Dermacare,E-commerce,2,284.62,CNY,0.15,569.24,483.85
TXN-CN-1-000006,2026-08-25 11:09:40,2026-08-25 11:11:40,CN,Other ERP,C,DER-001,Dermacare GlowSerum,AES,Dermacare,D2C,4,246.15,CNY,0.1,984.6,886.14
TXN-CN-1-000007,2026-08-25 23:14:16,2026-08-25 23:15:16,CN,Other ERP,C,VIT-002,Vitalis Multivit,SUP,Vitalis,Pharmacy/B2B,1,130.77,CNY,0.0,130.77,130.77
TXN-CN-1-000008,2026-08-25 10:46:09,2026-08-25 10:47:09,CN,Other ERP,C,VIT-002,Vitalis Multivit,SUP,Vitalis,E-commerce,11,130.77,CNY,0.0,1438.47,1438.47
TXN-CN-1-000009,2026-08-25 02:26:24,2026-08-25 02:29:24,CN,Other ERP,C,DER-002,Dermacare LiftCream,AES,Dermacare,Pharmacy/B2B,7,284.62,CNY,0.0,1992.34,1992.34
TXN-CN-1-000010,2026-08-25 14:40:22,2026-08-25 14:41:22,CN,Other ERP,C,PUR-002,PureLife BP Monitor,MD,PureLife,D2C,6,692.31,CNY,0.05,4153.86,3946.17
TXN-CN-1-000011,2026-08-25 13:39:00,2026-08-25 13:41:00,CN,Other ERP,C,SAN-001,SanaPlus PainRelief,OTC,SanaPlus,Wholesale,10,73.08,CNY,0.1,730.8,657.72
TXN-CN-1-000012,2026-08-25 17:25:10,2026-08-25 17:31:10,CN,Other ERP,C,PUR-002,PureLife BP Monitor,MD,PureLife,Pharmacy/B2B,11,692.31,CNY,0.05,7615.41,7234.64
TXN-CN-1-000013,2026-08-25 01:08:51,2026-08-25 01:12:51,CN,Other ERP,C,SAN-002,SanaPlus ColdFlu,OTC,SanaPlus,D2C,1,80.77,CNY,0.0,80.77,80.77
TXN-CN-1-000014,2026-08-25 17:14:35,2026-08-25 17:18:35,CN,Other ERP,C,PUR-001,PureLife GlucoMonitor,MD,PureLife,Pharmacy/B2B,7,653.85,CNY,0.15,4576.95,3890.41
TXN-CN-1-000015,2026-08-25 21:22:35,2026-08-25 21:27:35,CN,Other ERP,C,SAN-002,SanaPlus ColdFlu,OTC,SanaPlus,Wholesale,1,80.77,CNY,0.05,80.77,76.73
TXN-CN-1-000016,2026-08-25 01:24:28,2026-08-25 01:28:28,CN,Other ERP,C,MED-002,Medora Derm Cream,RX,Medora,Wholesale,5,200.0,CNY,0.1,1000.0,900.0
TXN-CN-1-000017,2026-08-25 03:21:05,2026-08-25 03:22:05,CN,Other ERP,C,VIT-002,Vitalis Multivit,SUP,Vitalis,Pharmacy/B2B,8,130.77,CNY,0.05,1046.16,993.85
